date,tether,usd_coin,binance_usd,dai,true_usd,paxos_standard
2018-12-30,2048421032,248534076,0,0,203944720,144275357
2018-12-31,2071214917,250584341,0,0,204642819,141866220
2019-01-01,2064549307,261532670,0,0,205999135,141435446
2019-01-02,2081768948,285618972,0,0,205134329,130050157
2019-01-03,2081332301,286516390,0,0,204391954,131421523
2019-01-04,2062404855,294504723,0,0,206501472,130514432
2019-01-05,2076194416,290681641,0,0,206114235,131552405
2019-01-06,2068439245,300214374,0,0,204892017,130266686
2019-01-07,2076417540,313435515,0,0,204175178,130203447
2019-01-08,2070618243,323217620,0,0,201423512,131938260
2019-01-09,2066962685,341081572,0,0,200697160,130921590
2019-01-10,2068319295,355008148,0,0,201183530,130561460
2019-01-11,2076503785,358076245,0,0,202489446,131707340
2019-01-12,2074761286,359427065,0,0,201536215,131726406
2019-01-13,2065187829,367194733,0,0,202675108,131927985
2019-01-14,2068137631,370764589,0,0,204851418,136580662
2019-01-15,2068116972,355451747,0,0,205485943,138254724
2019-01-16,2063760229,352698266,0,0,207342547,132840745
2019-01-17,2065124096,362187289,0,0,207344806,136271114
2019-01-18,2062694617,358872738,0,0,205601317,135390921
2019-01-19,2060491673,346848080,0,0,207338522,139824899
2019-01-20,2063763959,348206767,0,0,207907730,140307469
2019-01-21,2058659682,347851811,0,0,208032673,138478085
2019-01-22,2061371005,345392589,0,0,207857500,136790912
2019-01-23,2059929315,349789724,0,0,207765697,134603921
2019-01-24,2059407517,340507233,0,0,207529693,138453736
2019-01-25,2057061192,343078508,0,0,207891780,135256353
2019-01-26,2056945928,336667630,0,0,209165208,134654533
2019-01-27,2056611611,343068666,0,0,209627861,134926892
2019-01-28,2060102767,334945906,0,0,209346212,132570587
2019-01-29,2056914823,324943664,0,0,208242352,130272586
2019-01-30,2058162282,325851699,0,0,209030088,128866514
2019-01-31,2056125613,310132134,0,0,208534358,127708255
2019-02-01,2057052052,310423136,0,0,209083161,124519048
2019-02-02,2054695929,310303376,0,0,208484012,122884038
2019-02-03,2054232208,312165433,0,0,209663222,123135141
2019-02-04,2057661846,306481187,0,0,208616560,122602341
2019-02-05,2056423997,299065780,0,0,208380480,121980379
2019-02-06,2059174017,295888927,0,0,207212469,121455099
2019-02-07,2056763122,290364760,0,0,207153534,122291579
2019-02-08,2055893421,291521669,0,0,207575418,122404436
2019-02-09,2063218011,291484154,0,0,207717440,121157232
2019-02-10,2059394220,290113095,0,0,206647212,120519149
2019-02-11,2060813517,261608192,0,0,206186777,119145416
2019-02-12,2057334898,261483988,0,0,208372467,118842862
2019-02-13,2058607949,260029239,0,0,207740198,116950912
2019-02-14,2058629804,249853199,0,0,207832845,116454061
2019-02-15,2057944821,250473888,0,0,208574569,115124242
2019-02-16,2056688197,247236105,0,0,208456125,115021692
2019-02-17,2057497033,247579528,0,0,209451954,115344787
2019-02-18,2055359684,246523133,0,0,206362100,114776485
2019-02-19,2054056482,246301949,0,0,209759274,114054953
2019-02-20,2056870928,248070070,0,0,210419175,113608099
2019-02-21,2058804570,247896924,0,0,207461801,113194659
2019-02-22,2058000144,235024371,0,0,206156458,116676378
2019-02-23,2061101903,234341044,0,0,204118353,116059244
2019-02-24,2057579429,234269735,0,0,203750115,115832585
2019-02-25,2057172293,232109898,0,0,202873454,113975664
2019-02-26,2052560615,234673211,0,0,203706256,113998234
2019-02-27,2056445494,237793920,0,0,204108300,113387926
2019-02-28,2062398602,238178935,0,0,202912198,109976707
2019-03-01,2057342973,239542561,0,0,201726005,111301328
2019-03-02,2050563202,240470525,0,0,201599146,115677767
2019-03-03,2055397326,241162085,0,0,201745272,115860273
2019-03-04,2057521963,242340815,0,0,201898090,117908597
2019-03-05,2057283406,242572692,0,0,200447897,118427244
2019-03-06,2059273722,243483370,0,0,199713191,117650184
2019-03-07,2056017071,239418664,0,0,199586910,117654941
2019-03-08,2056603394,245564368,0,0,199993789,117813420
2019-03-09,2057756560,241892941,0,0,200629101,118258178
2019-03-10,2059613268,241929215,0,0,200136332,118113210
2019-03-11,2058018510,242026376,0,0,199283056,116922746
2019-03-12,2056158426,242080858,0,0,200401527,117802451
2019-03-13,2057370375,241632550,0,0,198968385,117721510
2019-03-14,2054158371,242540798,0,0,199485227,118987566
2019-03-15,2058070674,241674979,0,0,197217422,118785771
2019-03-16,2058090474,241051503,0,0,199090999,118430575
2019-03-17,2057611141,240876598,0,0,197849467,117045090
2019-03-18,2055749663,241580916,0,0,199822527,119963460
2019-03-19,2059594111,241425298,0,0,200934404,119939566
2019-03-20,2056857602,241625516,0,0,203853939,117405582
2019-03-21,2058141051,244350752,0,0,203302611,119484313
2019-03-22,2056927158,245713094,0,0,203601893,119377296
2019-03-23,2055874929,246735069,0,0,204243649,119633045
2019-03-24,2058923030,246870375,0,0,207528118,119240488
2019-03-25,2058377846,247798566,0,0,202619788,119711316
2019-03-26,2051277714,247042348,0,0,203175762,119859671
2019-03-27,2059497756,246498531,0,0,201975671,120356395
2019-03-28,2055233666,247456743,0,0,199878433,119091424
2019-03-29,2057938699,247553006,0,0,199433499,118464278
2019-03-30,2057620764,247482836,0,0,199664286,118447498
2019-03-31,2059187276,247215044,0,0,199786602,118333957
2019-04-01,2056503958,253582676,0,0,197107130,115459639
2019-04-02,2057429259,255615162,0,0,192739812,110929962
2019-04-03,2063992652,256415595,0,0,198139471,111561664
2019-04-04,2065955960,256962609,0,0,198503699,110968059
2019-04-05,2058884613,260342115,0,0,196910969,107438225
2019-04-06,2063645670,259983480,0,0,199882013,107528085
2019-04-07,2052047755,260709200,0,0,199506157,107790444
